date,sox_date,sox_ret,bucket,action,entry_time,entry_px,exit_px,how,pnl_sim,cum_pnl
2026-09-04,2026-09-03,0.00114,小漲0~1%,多0845,08:45,46500.0,46151.2,stop,-350.8,-350.8
2026-09-07,2026-09-04,0.03375,大漲>2%,空1000,10:00,47398.0,47472.0,close,-76.0,-426.8
2026-09-08,2026-09-04,0.03375,大漲>2%,空1000,10:00,47454.0,46970.0,close,482.0,55.2
2026-09-09,2026-09-08,0.013,漲1~2%,多0845,08:45,47084.0,47185.0,close,99.0,154.2
2026-09-10,2026-09-09,0.00365,小漲0~1%,多0845,08:45,46953.0,46600.9,stop,-354.1,-199.9
2026-09-11,2026-09-10,-0.02658,大跌<-2%,空手,,,,,0.0,-199.9
2026-09-14,2026-09-11,0.01807,漲1~2%,多0845,08:45,45667.0,45324.5,stop,-344.5,-544.4
2026-09-15,2026-09-14,-0.05859,大跌<-2%,空手,,,,,0.0,-544.4
2026-09-16,2026-09-15,0.00398,小漲0~1%,多0845,08:45,45550.0,45758.0,close,206.0,-338.4
2026-09-17,2026-09-16,0.00631,小漲0~1%,多0845,08:45,46600.0,46450.0,close,-152.0,-490.4
2026-09-18,2026-09-17,0.03142,大漲>2%,空1000,10:00,47000.0,47352.5,stop,-354.5,-844.9
2026-09-21,2026-09-18,0.02778,大漲>2%,空1000,10:00,47846.0,48086.0,close,-242.0,-1086.9
2026-09-22,2026-09-21,0.0429,大漲>2%,空1000,10:00,48591.0,48245.0,close,344.0,-742.9
2026-09-23,2026-09-22,0.02064,大漲>2%,空1000,10:00,48432.0,48339.0,close,91.0,-651.9
2026-09-24,2026-09-23,-0.01226,跌-2~-1%,空0845,08:45,47850.0,48208.9,stop,-360.9,-1012.8
